T-00001;HC;Distribute;H-00002;3;300.00;2024-09-04;10:12:58
T-00002;HC;Distribute;H-00002;2;200.00;2024-09-16;10:15:18
T-00003;FS;Receive;S-00002;20;2400.00;2024-10-04;11:27:19
T-00004;HC;Distribute;H-00002;10;1000.00;2024-10-09;16:31:18
T-00005;FS;Receive;S-00001;10;1200.00;2024-10-09;17:43:19
T-00006;HC;Distribute;H-00001;5;500.00;2024-10-10;12:55:18
T-00007;FS;Receive;S-00003;15;1800.00;2024-10-10;14:07:19
T-00008;HC;Distribute;H-00001;3;300.00;2024-10-11;15:19:18
T-00009;FS;Receive;S-00004;25;3000.00;2024-10-12;16:31:19
T-00010;HC;Distribute;H-00002;12;1200.00;2024-10-13;20:35:45
